time,open,high,low,close,tick_volume,spread,real_volume,datetime
1711472400,1.08277,1.08319,1.08271,1.08285,547,10,0,2024-03-26 17:00:00
1711473300,1.08284,1.08292,1.08238,1.08276,355,10,0,2024-03-26 17:15:00
1711474200,1.08276,1.08295,1.08272,1.08287,313,10,0,2024-03-26 17:30:00
1711475100,1.08287,1.0832,1.08275,1.08276,353,10,0,2024-03-26 17:45:00
1711476000,1.08277,1.08342,1.08261,1.08341,436,10,0,2024-03-26 18:00:00
1711476900,1.08341,1.08342,1.08316,1.08338,214,10,0,2024-03-26 18:15:00
1711477800,1.08338,1.08352,1.0832600000000001,1.08328,226,10,0,2024-03-26 18:30:00
1711478700,1.08328,1.08329,1.08299,1.08301,225,10,0,2024-03-26 18:45:00
1711479600,1.08302,1.08319,1.08292,1.08295,212,10,0,2024-03-26 19:00:00
1711480500,1.08295,1.08329,1.08294,1.08328,155,10,0,2024-03-26 19:15:00
1711481400,1.08328,1.08344,1.08319,1.08343,228,10,0,2024-03-26 19:30:00
1711482300,1.08341,1.08341,1.08311,1.08324,194,10,0,2024-03-26 19:45:00
1711483200,1.0832600000000001,1.08344,1.08314,1.08335,171,10,0,2024-03-26 20:00:00
1711484100,1.08336,1.08344,1.08328,1.08328,171,10,0,2024-03-26 20:15:00
1711485000,1.08325,1.08339,1.08311,1.08332,224,10,0,2024-03-26 20:30:00
1711485900,1.08332,1.08336,1.08282,1.08283,262,10,0,2024-03-26 20:45:00
1711486800,1.08283,1.083,1.08279,1.08292,149,10,0,2024-03-26 21:00:00
1711487700,1.08292,1.08304,1.08289,1.08302,81,10,0,2024-03-26 21:15:00
1711488600,1.08302,1.08313,1.08294,1.08296,101,10,0,2024-03-26 21:30:00
1711489500,1.08295,1.08317,1.08295,1.08307,175,10,0,2024-03-26 21:45:00
1711490400,1.08308,1.08308,1.08286,1.08292,165,15,0,2024-03-26 22:00:00
1711491300,1.08294,1.08311,1.08284,1.08301,295,15,0,2024-03-26 22:15:00
1711492200,1.08302,1.08317,1.08278,1.08311,493,10,0,2024-03-26 22:30:00
1711493100,1.08312,1.08322,1.08288,1.08321,270,11,0,2024-03-26 22:45:00
1711494000,1.08323,1.08323,1.08313,1.08318,67,13,0,2024-03-26 23:00:00
